,r,Va
0,0.0,0.15004561987969492
1,0.02631578947368421,0.5553598528070838
2,0.05263157894736842,0.7621805040276513
3,0.07894736842105263,0.8854494310518832
4,0.10526315789473684,0.8923254945014851
5,0.13157894736842105,0.9238690483626865
6,0.15789473684210525,0.909671185260725
7,0.18421052631578946,0.9220084808781008
8,0.21052631578947367,0.9284715320686725
9,0.23684210526315788,0.9320835344652979
10,0.2631578947368421,0.9374994025336045
11,0.2894736842105263,0.9398663849761464
12,0.3157894736842105,0.9249053340330086
13,0.3421052631578947,0.9331862884667138
14,0.3684210526315789,0.9436869037043942
15,0.39473684210526316,0.9293659820765187
16,0.42105263157894735,0.9337101732339136
17,0.4473684210526315,0.9289061249392306
18,0.47368421052631576,0.9338369598579239
19,0.5,0.9307907198250707
