,r,Va
0,0.0,0.9381554929188644
1,0.02631578947368421,0.8981056411536212
2,0.05263157894736842,0.66303002041497
3,0.07894736842105263,0.5954131432375769
4,0.10526315789473684,0.6893584069284636
5,0.13157894736842105,0.7998821493925554
6,0.15789473684210525,0.8251346478800832
7,0.18421052631578946,0.857026976845221
8,0.21052631578947367,0.8809264607886818
9,0.23684210526315788,0.8507978089226977
10,0.2631578947368421,0.8939908064714097
11,0.2894736842105263,0.901086365705466
12,0.3157894736842105,0.9045164613541193
13,0.3421052631578947,0.9050123663574006
14,0.3684210526315789,0.9206493843372122
15,0.39473684210526316,0.9125091757321372
16,0.42105263157894735,0.9242539044404864
17,0.4473684210526315,0.9209424028397634
18,0.47368421052631576,0.9299496287734166
19,0.5,0.9132715869431075
