,N,Va
0,100.0,0.502385451685552
1,147.3684210526316,0.603882848155477
2,194.73684210526318,0.6821593260295604
3,242.10526315789474,0.760414365888445
4,289.47368421052636,0.7780656024244219
5,336.8421052631579,0.7993553320606547
6,384.2105263157895,0.8199331349738358
7,431.5789473684211,0.8170770588252706
8,478.94736842105266,0.8032574484930354
9,526.3157894736842,0.8435599876323231
10,573.6842105263158,0.8562401219990322
11,621.0526315789474,0.8567933062998392
12,668.421052631579,0.8670020872116071
13,715.7894736842105,0.8659832456250693
14,763.1578947368422,0.8800600036547916
15,810.5263157894738,0.8731659654394655
