,eta,Va
0,0.0,0.99993119806309
1,0.05263157894736842,0.9921567554014075
2,0.10526315789473684,0.9726036543958988
3,0.15789473684210525,0.9313746847855119
4,0.21052631578947367,0.8943857399690739
5,0.2631578947368421,0.8853598860068917
6,0.3157894736842105,0.7866304695128356
7,0.3684210526315789,0.7422277181906317
8,0.42105263157894735,0.6577393003397468
9,0.47368421052631576,0.5226861074678902
10,0.5263157894736842,0.5013845231524974
11,0.5789473684210527,0.4347723349514275
12,0.631578947368421,0.3983231707070156
13,0.6842105263157894,0.25093562731008845
14,0.7368421052631579,0.06818143412804467
15,0.7894736842105263,0.14052641815834063
16,0.8421052631578947,0.13484811078572567
17,0.894736842105263,0.13880172624050655
18,0.9473684210526315,0.03573827735045765
19,1.0,0.08749620635392302
