,r,Va
0,0.0,0.13747763191764076
1,0.02631578947368421,0.28591897706547065
2,0.05263157894736842,0.6461860969761534
3,0.07894736842105263,0.8295390408717287
4,0.10526315789473684,0.9358355726779559
5,0.13157894736842105,0.8040519054382489
6,0.15789473684210525,0.9316612200935367
7,0.18421052631578946,0.9053687247059929
8,0.21052631578947367,0.9173500123036112
9,0.23684210526315788,0.923268507013504
10,0.2631578947368421,0.925395544799125
11,0.2894736842105263,0.9261477187759917
12,0.3157894736842105,0.931112136729599
13,0.3421052631578947,0.9367884829147569
14,0.3684210526315789,0.9388619751493875
15,0.39473684210526316,0.935049280978294
16,0.42105263157894735,0.9283697697999724
17,0.4473684210526315,0.9285997508322361
18,0.47368421052631576,0.9201661349808145
19,0.5,0.9375317500764846
