,r,Va
0,0.0,0.04010723220456821
1,0.02631578947368421,0.8431767802135185
2,0.05263157894736842,0.8985600965571329
3,0.07894736842105263,0.9139332374229159
4,0.10526315789473684,0.9286427300196393
5,0.13157894736842105,0.9315680661140653
6,0.15789473684210525,0.930908587356201
7,0.18421052631578946,0.9253352846705224
8,0.21052631578947367,0.9313768176359798
9,0.23684210526315788,0.9307910486977667
10,0.2631578947368421,0.942976910679516
11,0.2894736842105263,0.9307960662716568
12,0.3157894736842105,0.938487463629884
13,0.3421052631578947,0.9311309053922046
14,0.3684210526315789,0.9342660690239764
15,0.39473684210526316,0.9364779927394794
16,0.42105263157894735,0.9312990352751991
17,0.4473684210526315,0.9401215815388763
18,0.47368421052631576,0.935739177909174
19,0.5,0.9348481678383238
