,eta,Va
0,0.0,0.9999999999994963
1,0.05263157894736842,0.9923255417937726
2,0.10526315789473684,0.969512442422554
3,0.15789473684210525,0.9565407629638432
4,0.21052631578947367,0.9182699152288409
5,0.2631578947368421,0.8706396201017983
6,0.3157894736842105,0.8113952217980163
7,0.3684210526315789,0.7780288658490327
8,0.42105263157894735,0.6756549512997353
9,0.47368421052631576,0.6351584162905901
10,0.5263157894736842,0.5789445193808436
11,0.5789473684210527,0.5188484935266198
12,0.631578947368421,0.43166067797900604
13,0.6842105263157894,0.34486160125232973
14,0.7368421052631579,0.2807697440603228
15,0.7894736842105263,0.20255139212954476
16,0.8421052631578947,0.16222810605908286
17,0.894736842105263,0.1178016250578047
18,0.9473684210526315,0.05639845701277291
19,1.0,0.03825594650880833
