,eta,Va
0,0.0,0.9272377538939894
1,0.05263157894736842,0.9239915366794386
2,0.10526315789473684,0.8976156596352857
3,0.15789473684210525,0.9032391160858035
4,0.21052631578947367,0.8496949989498901
5,0.2631578947368421,0.8098565651649605
6,0.3157894736842105,0.748399642834526
7,0.3684210526315789,0.7002681281377918
8,0.42105263157894735,0.7357309479193929
9,0.47368421052631576,0.6232871898419362
10,0.5263157894736842,0.6020309365185073
11,0.5789473684210527,0.48076571770590615
12,0.631578947368421,0.34298416472520227
13,0.6842105263157894,0.37659491699555586
14,0.7368421052631579,0.2951747866041742
15,0.7894736842105263,0.26235029366139395
16,0.8421052631578947,0.19571168557064986
17,0.894736842105263,0.10070533897843022
18,0.9473684210526315,0.0699468631518671
19,1.0,0.11694018125534877
