,eta,Va
0,0.0,0.9998247560440715
1,0.05263157894736842,0.973011184746474
2,0.10526315789473684,0.9667222920440672
3,0.15789473684210525,0.8287760220232689
4,0.21052631578947367,0.8683339258918161
5,0.2631578947368421,0.8260624637360727
6,0.3157894736842105,0.7160220460507126
7,0.3684210526315789,0.5782532414743861
8,0.42105263157894735,0.5530684878151644
9,0.47368421052631576,0.47859759558449666
10,0.5263157894736842,0.4928506635252037
11,0.5789473684210527,0.2316881953951149
12,0.631578947368421,0.23221314671705728
13,0.6842105263157894,0.31355469149064435
14,0.7368421052631579,0.21957693869657785
15,0.7894736842105263,0.08473216510286387
16,0.8421052631578947,0.13081210939092747
17,0.894736842105263,0.20572918060348405
18,0.9473684210526315,0.024982896909909538
19,1.0,0.1155707211797975
